Formal_name,data_name,file_path_name,installation_tbo_name
Avon Park Air Force Range,avonpark,avon_park_afb,Avon
Fort Benning,benning,fort_benning,Benning
Camp Blanding Army Base,blanding,camp_blanding,Blanding
Eglin Air Force Base,eglin,eglin_afb,Eglin
Fort Gordon Army Base,gordon,fort_gordon,Gordon
Fort Jackson Army Base,jackson,fort_jackson,Jackson
Moody Air Force Base,moody,moody_afb,Moody
Camp Shelby Joint Forces Training Center,shelby,camp_shelby,Shelby
Tyndall Air Force Base,tyndall,tyndall_afb,Tyndall
