variable,direct,indirect,total
CV fire days,0,0.01800523,0.01800523
FRI,0,0.1800523,0.1800523
time since fire,0,0.310435,0.310435
canopy cover,0,0.11550000000000002,0.11550000000000002
litter cover,0.52,0,0.52
litter depth,0.22,0,0.22
standing biomass,0.25,0,0.25
vapor pressure,0.53,0,0.53
