variable,direct,indirect,total
CV fire days,0,0.018130626,0.018130626
FRI,0,0.18130626,0.18130626
time since fire,0,0.312597,0.312597
canopy cover,0,0.10410000000000001,0.10410000000000001
litter cover,0.51,0,0.51
litter depth,0.24,0,0.24
standing biomass,0.27,0,0.27
vapor pressure,0.51,0,0.51
