x,predicted,std.error,conf.low,conf.high,group,facet,panel
4.42,0.5372140885693433,1.0828882709309355,0.06432669316958717,4.486457530104098,1602.4,1.99,4.32
4.42,0.6478398890467477,1.080657579079392,0.07791306442096364,5.386728464079985,1602.4,1.99,4.95
4.42,0.8290943240582208,1.0887632243993057,0.09814021502647692,7.004237742908015,1602.4,1.99,5.78
4.42,0.5436884977560629,1.0689110162335567,0.06691006297171291,4.417828491914765,1845.48,-0.14,4.32
4.42,0.6556475408161526,1.0604628342461688,0.08203569005513364,5.2400814510046025,1845.48,-0.14,4.95
4.42,0.8390864222227251,1.060577235322226,0.10496432424553083,6.707669763219679,1845.48,-0.14,5.78
4.42,0.971035020328309,1.052168855469936,0.12348867747672117,7.635590808572286,1845.48,1.16,4.32
4.42,1.1709953875284445,1.0468748384770177,0.15047131152725096,9.112901214824303,1845.48,1.16,4.95
4.42,1.4986197140882334,1.0513085679104905,0.19090441220290436,11.764322372323516,1845.48,1.16,5.78
4.42,1.4062211209523854,1.0586234770463885,0.17658413376098725,11.198389112858468,1845.48,1.99,4.32
4.42,1.6957971772465799,1.0554439685318442,0.21427838932279855,13.42052306555909,1845.48,1.99,4.95
4.42,2.170251999267735,1.062567311591662,0.27042773430840306,17.416829499278347,1845.48,1.99,5.78
4.42,0.6610660718764514,1.0794904132245708,0.07968580469676316,5.484143042153565,1894.86,-0.14,4.32
4.42,0.7971960895469505,1.070945917701148,0.09771794874367941,6.503632273902561,1894.86,-0.14,4.95
4.42,1.0202378152066707,1.0708223532300776,0.12508803696151477,8.321220996520433,1894.86,-0.14,5.78
4.42,1.1806729573869252,1.0644708875367996,0.1465717772550401,9.5106210650581,1894.86,1.16,4.32
4.42,1.4238030125959922,1.0590565809406902,0.1786402473783421,11.34803074014998,1894.86,1.16,4.95
4.42,1.8221585553450703,1.063200979791515,0.22677117467947105,14.641463164400177,1894.86,1.16,5.78
4.42,1.709811917034118,1.0718377012046205,0.2092177052583245,13.973276248404721,1894.86,1.99,4.32
4.42,2.0619049019583016,1.0685173402828352,0.25394813173059044,16.741418004326846,1894.86,1.99,4.95
4.42,2.6387903552479344,1.0753182467103009,0.32069510942497176,21.71288034742731,1894.86,1.99,5.78
