x,predicted,std.error,conf.low,conf.high,group,facet,panel
2.42,0.1502125502013409,1.1179869164731144,0.01679090214885017,1.3438116688408852,1602.4,-0.14,4.32
2.42,0.18114506660654078,1.1091588056422408,0.0206019734763108,1.5927374721464802,1602.4,-0.14,4.95
2.42,0.23182633408946174,1.1082747458109639,0.026411775295559572,2.034829108454298,1602.4,-0.14,5.78
2.42,0.26828164903310137,1.0918604822363145,0.03156440736492413,2.280259609369453,1602.4,1.16,4.32
2.42,0.3235275422611119,1.0859902339438328,0.038504784357149616,2.7183653239205916,1602.4,1.16,4.95
2.42,0.4140449723771769,1.0892541358881411,0.048963529276599464,3.5012435109073756,1602.4,1.16,5.78
2.42,0.3885166995385282,1.0916018169228132,0.045733721166823456,3.3005235954823404,1602.4,1.99,4.32
2.42,0.4685219931445634,1.0877502837519037,0.055569342983266136,3.950251096656969,1602.4,1.99,4.95
2.42,0.5996063715437131,1.093656713762388,0.07029815979886905,5.114327342628411,1602.4,1.99,5.78
2.42,0.39319903409044776,1.0803903011112255,0.047313224885710194,3.2677011719899887,1845.48,-0.14,4.32
2.42,0.4741685373457287,1.070367330461083,0.058188131311522506,3.8639460787094464,1845.48,-0.14,4.95
2.42,0.6068327214904851,1.0682830353222235,0.07477300290972332,4.924851718422328,1845.48,-0.14,5.78
2.42,0.7022588000976919,1.0610384483788267,0.08776869184670212,5.618944659401127,1845.48,1.16,4.32
2.42,0.8468714295058294,1.0540979902953675,0.10729207524190473,6.684475218661217,1845.48,1.16,4.95
2.42,1.0838114590991001,1.0562789039089135,0.13672486568522027,8.591321505328038,1845.48,1.16,5.78
2.42,1.0169881995998116,1.0656647775668318,0.12595644961272728,8.211290500052002,1845.48,1.99,4.32
2.42,1.2264114743251942,1.0608261308500306,0.15334137932425895,9.808735978407537,1845.48,1.99,4.95
2.42,1.569540266838247,1.0657106422569345,0.19437388664128216,12.673804551601087,1845.48,1.99,5.78
2.42,0.47808725401509305,1.0904868183717196,0.05640051930456574,4.05257655904578,1894.86,-0.14,4.32
2.42,0.5765373622658139,1.0803793151623615,0.06937562624883062,4.791240786731278,1894.86,-0.14,4.95
2.42,0.7378425792296213,1.0780791206306233,0.08918690694189692,6.104165851147757,1894.86,-0.14,5.78
2.42,0.853870310549667,1.0728611585939654,0.10427275287026126,6.9921862343592505,1894.86,1.16,4.32
2.42,1.0297035372247227,1.0658170546727084,0.12749321794418064,8.31643746757827,1894.86,1.16,4.95
2.42,1.317796839326895,1.0677365068216116,0.16255094521981994,10.683349194872667,1894.86,1.16,5.78
2.42,1.2365470246821217,1.0784170419672323,0.14936897007065758,10.236721479212889,1894.86,1.99,4.32
2.42,1.4911829460849075,1.0734565302601096,0.1818875918769087,12.225279117441335,1894.86,1.99,4.95
2.42,1.9083902328870024,1.078048570220119,0.23069096118353885,15.787152050924748,1894.86,1.99,5.78
3.33,0.1740771926289883,1.1097719643298003,0.019774352218068326,1.532432954537009,1602.4,-0.14,4.32
3.33,0.20992403505027643,1.101614996729383,0.024230689938997817,1.8186894637640825,1602.4,-0.14,4.95
3.33,0.2686571618794286,1.101695902120544,0.031005102431984597,2.327896538559817,1602.4,-0.14,5.78
3.33,0.3109042236148717,1.0846917280782007,0.03709670607881104,2.6056608922692837,1602.4,1.16,4.32
3.33,0.3749271696638035,1.0795345747086253,0.04519032008012623,3.110630380640531,1602.4,1.16,4.95
3.33,0.4798253296209772,1.0838050036703366,0.057351750579206245,4.014390923044529,1602.4,1.16,5.78
3.33,0.45024131641793685,1.0852252199980286,0.05366609110057756,3.7773804436368774,1602.4,1.99,4.32
3.33,0.5429572505241687,1.0821012931749618,0.06511474532605963,4.527431911474921,1602.4,1.99,4.95
3.33,0.6948673309978327,1.0890207252883712,0.08221021272237558,5.8732436238622485,1602.4,1.99,5.78
3.33,0.45566754513621205,1.0727337108099224,0.05565901380506154,3.7304453941219498,1845.48,-0.14,4.32
3.33,0.5495008752830639,1.0634020458740912,0.06835950763664503,4.417106301318477,1845.48,-0.14,4.95
